dataset,method,codec,component,bytes,MiB
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_lp,172000,0.164
world_leaders,Adaptive-Mixed@25%-raw,raw,size_hybrid_m_phim1,5539457,5.283
world_leaders,Adaptive-Mixed@25%-raw,raw,serialized_index_file,17437297,16.630
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_index,17906595,17.077
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_r,1703612,1.625
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets,45872,0.044
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets_varint,11468,0.011
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets,45872,0.044
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets_varint,11468,0.011
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets,45872,0.044
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets_varint,11468,0.011
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids,45868,0.044
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids_varint,11495,0.011
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt,139164,0.133
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt_bitvector,17396,0.017
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl,192328,0.183
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl_varint,118913,0.113
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr,384656,0.367
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr_varint,253876,0.242
