dataset,budget,method,codec,component,bytes,MiB,relative_to_r_rlzsa_percent
DNA,25,Vr-RLZSA-v1,v1,LP,5381568,5.132,100.00
DNA,25,Vr-RLZSA-v1,v1,reference,14467016,13.797,100.00
DNA,25,Vr-RLZSA-v1,v1,Phi_fallback,11587736,11.051,100.00
DNA,25,Vr-RLZSA-v1,v1,Other(serialized),20020416,19.093,
DNA,25,Vr-RLZSA-v2,v2,block_ids,153613,0.146,25.00
DNA,25,Vr-RLZSA-v2,v2,SR,20220777,19.284,81.44
DNA,25,Vr-RLZSA-v2,v2,offsets,461260,0.440,25.02
DNA,25,Vr-RLZSA-v2,v2,PT,944097,0.900,12.50
DNA,25,Vr-RLZSA-v2,v2,CPL,6352011,6.058,51.16
DNA,25,Vr-RLZSA-v2,v2,LP,5381568,5.132,100.00
DNA,25,Vr-RLZSA-v2,v2,reference,14467016,13.797,100.00
DNA,25,Vr-RLZSA-v2,v2,Phi_fallback,11587736,11.051,100.00
DNA,25,Vr-RLZSA-v2,v2,Other(serialized),20020456,19.093,
DNA,12.5,r-RLZSA,raw,block_ids,307200,0.293,100.00
DNA,12.5,r-RLZSA,raw,SR,12589508,12.006,100.00
DNA,12.5,r-RLZSA,raw,offsets,921612,0.879,100.00
DNA,12.5,r-RLZSA,raw,PT,3841544,3.664,100.00
DNA,12.5,r-RLZSA,raw,CPL,6294754,6.003,100.00
DNA,12.5,r-RLZSA,raw,LP,2776668,2.648,100.00
DNA,12.5,r-RLZSA,raw,reference,14196612,13.539,100.00
DNA,12.5,r-RLZSA,raw,Phi_fallback,11587736,11.051,100.00
DNA,12.5,r-RLZSA,raw,Other(serialized),20020394,19.093,
DNA,12.5,Vr-RLZSA-v1,v1,block_ids,76844,0.073,25.01
DNA,12.5,Vr-RLZSA-v1,v1,SR,10238848,9.765,81.33
DNA,12.5,Vr-RLZSA-v1,v1,offsets,921612,0.879,100.00
DNA,12.5,Vr-RLZSA-v1,v1,PT,3841544,3.664,100.00
DNA,12.5,Vr-RLZSA-v1,v1,CPL,6294754,6.003,100.00
DNA,12.5,Vr-RLZSA-v1,v1,LP,2776668,2.648,100.00
DNA,12.5,Vr-RLZSA-v1,v1,reference,14196612,13.539,100.00
DNA,12.5,Vr-RLZSA-v1,v1,Phi_fallback,11587736,11.051,100.00
DNA,12.5,Vr-RLZSA-v1,v1,Other(serialized),20020416,19.093,
DNA,12.5,Vr-RLZSA-v2,v2,block_ids,76844,0.073,25.01
DNA,12.5,Vr-RLZSA-v2,v2,SR,10238848,9.765,81.33
DNA,12.5,Vr-RLZSA-v2,v2,offsets,230702,0.220,25.03
DNA,12.5,Vr-RLZSA-v2,v2,PT,480193,0.458,12.50
DNA,12.5,Vr-RLZSA-v2,v2,CPL,3219369,3.070,51.14
DNA,12.5,Vr-RLZSA-v2,v2,LP,2776668,2.648,100.00
DNA,12.5,Vr-RLZSA-v2,v2,reference,14196612,13.539,100.00
DNA,12.5,Vr-RLZSA-v2,v2,Phi_fallback,11587736,11.051,100.00
DNA,12.5,Vr-RLZSA-v2,v2,Other(serialized),20020456,19.093,
